Instances,feature_ego_brake,feature_ego_speed,source,feature_scenarioTrafficLightDemand,feature_totalNPCs,feature_totalPedestrians,feature_isPedestrianScenario,feature_totalStaticObstacles,feature_totalRoadUsers,feature_obstaclesMinimumDistance,feature_typeObstacleHavingMinimumDistance,feature_speedObstacleWithMinimumDistance,feature_distanceObstacleWithMinimumDistance,feature_volumeObstacleWithMinimumDistance,feature_obstaclesMaximumSpeed,feature_typeObstacleHavingMaximumSpeed,feature_distanceObstacleWithMaximumSpeed, feature_speedObstacleWithMaximumSpeed,feature_volumeObstacleWithMaximumSpeed,feature_obstaclesMaximumVolume,feature_typeObstacleHavingMaximumVolume,algo_collision
scenario57,0,8.46,SpeedUp,3,1,0,0,1,2,8.52,3,0,8.52,0,3,1,12.55,3,54.54,54.54,1,0
scenario58,0,8.83,SpeedUp,1,1,0,0,1,2,5.03,3,0,5.03,0.01,3,1,17.64,3,56.9,56.9,1,0
scenario231,14.5,6.91,SpeedCut,0,1,0,0,1,2,20.76,3,0,20.76,3.21,1,1,23.5,1,6.13,6.13,1,1
scenario557,0,9.21,SpeedUp,3,0,1,1,1,2,4.49,2,1,4.49,0.09,1,2,4.49,1,0.09,0.09,2,0
scenario661,0,4.81,SpeedUp,2,0,1,1,1,2,6.97,2,1,6.97,0.21,1,2,6.97,1,0.21,0.3,3,1
scenario766,0,7.07,SpeedUp,3,1,0,0,1,2,6.93,3,0,6.93,0.15,3,1,9.15,3,5.92,5.92,1,0
scenario866,31.1,1.59,Cruise,0,0,1,1,1,2,3.87,2,2,3.87,0.2,2,2,3.87,2,0.2,2.45,3,1
scenario903,0,6.25,SpeedUp,0,0,1,1,1,2,7.8,2,1,7.8,0.11,1,2,7.8,1,0.11,2.23,3,1
scenario1041,20.14,3.44,SpeedCut,1,0,1,1,1,2,3.28,2,2,3.28,0.4,2,2,3.28,2,0.4,0.4,2,1
scenario1045,14.5,1.24,SpeedCut,1,0,1,1,1,2,3.44,3,0,3.44,0.11,2,2,4.01,2,0.18,0.18,2,1
scenario1046,14.5,0.3,SpeedCut,1,0,1,1,1,2,3.84,2,2,3.84,0.17,2,2,3.84,2,0.17,0.17,2,1
scenario1051,48.85,0,SpeedCut,1,0,1,1,1,2,3.94,2,1,3.94,0.22,1,2,3.94,1,0.22,0.22,2,1
scenario1166,0,5.9,SpeedUp,0,1,0,0,1,2,21.63,3,0,21.63,3.14,1,1,24.15,1,3.15,3.15,1,1
scenario1187,42.09,5.58,EmergencyBrake,1,1,0,0,1,2,4.31,3,0,4.31,0.01,1,1,10.87,1,10.85,10.85,1,0
scenario1188,40.57,5.25,EmergencyBrake,1,1,0,0,1,2,5.61,3,0,5.61,0.03,1,1,9.2,1,9.16,9.16,1,0
scenario1189,18.6,3.77,SpeedCut,1,1,0,0,1,2,6.55,3,0,6.55,0.01,1,1,8.18,1,10.02,10.02,1,0
scenario1248,0,8.55,SpeedUp,1,0,1,1,1,2,3.43,3,0,3.43,0.02,1,2,7.82,1,0.13,0.13,2,0
scenario1249,0,8.62,SpeedUp,3,0,1,1,1,2,4.07,3,0,4.07,0.03,1,2,6.85,1,0.13,0.13,2,0
scenario1263,34.89,2.22,EmergencyBrake,1,0,1,1,1,2,3.75,2,2,3.75,0.28,2,2,3.75,2,0.28,0.28,2,1
scenario1265,14.5,0.46,SpeedCut,1,0,1,1,1,2,3.78,2,2,3.78,0.23,2,2,3.78,2,0.23,0.23,2,1
scenario1266,14.5,0.21,SpeedCut,1,0,1,1,1,2,3.75,2,2,3.75,0.17,2,2,3.75,2,0.17,0.17,2,1
scenario1340,0,6.06,SpeedUp,0,0,1,1,1,2,6.68,2,1,6.68,0.09,1,2,6.68,1,0.09,1.4,3,1
scenario1406,0,4.69,SpeedUp,3,0,1,1,1,2,3.57,2,2,3.57,0.29,2,2,3.57,2,0.29,0.29,2,1
scenario1407,43.7,4.36,EmergencyBrake,3,0,1,1,1,2,3.28,3,0,3.28,0.02,2,2,4.09,2,0.33,0.33,2,1
scenario1408,0,3.96,SpeedUp,3,0,1,1,1,2,3.2,3,0,3.2,0.07,2,2,4.24,2,0.33,0.33,2,1
scenario1483,0,2.44,ChangeLaneToLeft,3,0,1,1,1,2,3.88,2,2,3.88,0.07,2,2,3.88,2,0.07,0.07,2,1
scenario1484,23.24,1.21,ChangeLaneToLeft,3,0,1,1,1,2,3.79,2,2,3.79,0.22,2,2,3.79,2,0.22,0.22,2,1
scenario1485,20.84,0.41,SpeedCut,3,0,1,1,1,2,3.71,2,1,3.71,0.17,1,2,3.71,1,0.17,0.17,2,1
scenario1486,48.66,0.01,SpeedCut,3,0,1,1,1,2,3.66,2,1,3.66,0.21,1,2,3.66,1,0.21,0.21,2,1
scenario1579,0,5.56,SpeedUp,1,1,0,0,1,2,5.9,3,0,5.9,0.06,3,1,22.16,3,8.8,8.8,1,0
scenario1951,0,0,SpeedUp,1,1,0,0,1,2,5.05,1,1,5.05,7.12,1,1,5.05,1,7.12,7.12,1,0
scenario2328,0,9.12,SpeedUp,1,0,1,1,1,2,3.47,2,1,3.47,0.19,1,2,3.47,1,0.19,0.19,2,0
scenario2329,0,9.19,SpeedUp,1,0,1,1,1,2,5.85,3,0,5.85,0.04,1,2,6.97,1,0.08,0.08,2,0
scenario2614,14.5,9.07,SpeedCut,1,0,1,1,1,2,8.11,3,0,8.11,0.03,1,2,12.36,1,0.16,0.16,2,0
scenario2681,0,0,SpeedUp,1,1,0,0,1,2,5.56,1,1,5.56,9.55,1,1,5.56,1,9.55,9.55,1,1
scenario2682,0,0,SpeedUp,1,1,0,0,1,2,5.57,1,1,5.57,9.59,1,1,5.57,1,9.59,9.59,1,1
scenario2776,21.02,9.32,Cruise,1,0,1,1,1,2,6.89,3,0,6.89,0.09,2,2,8.31,2,0.03,0.09,3,0
scenario2777,22.76,8.99,Cruise,1,0,1,1,1,2,5.68,3,0,5.68,0.06,2,2,11.55,2,0.09,0.09,2,0
scenario2981,0,8.94,SpeedUp,1,0,1,1,1,2,4.37,2,2,4.37,0.18,2,2,4.37,2,0.18,0.18,2,0
scenario3090,21.99,0.71,ChangeLaneToLeft,0,1,0,0,1,2,5.61,1,2,5.61,11.06,2,1,5.61,2,11.06,11.06,1,1
scenario3092,0,0,SpeedUp,1,1,0,0,1,2,5.56,1,1,5.56,9.81,1,1,5.56,1,9.81,9.81,1,1
scenario3093,0,0,SpeedUp,1,1,0,0,1,2,5.56,1,1,5.56,9.81,1,1,5.56,1,9.81,9.81,1,1
scenario3094,0,0,SpeedUp,1,1,0,0,1,2,5.56,1,1,5.56,9.8,1,1,5.56,1,9.8,9.8,1,1
scenario3095,0,0,SpeedUp,3,1,0,0,1,2,5.55,1,1,5.55,9.73,1,1,5.55,1,9.73,9.73,1,1
scenario3284,0,9.12,SpeedUp,1,0,1,1,1,2,5.96,3,0,5.96,0.02,1,2,6.07,1,0.08,0.08,2,0
scenario3709,16.71,0.79,SpeedCut,3,1,0,0,1,2,3.42,3,0,3.42,0.59,2,1,8.58,2,3.16,3.16,1,1
scenario3921,0,0.02,TurnLeft,1,1,0,0,1,2,5.63,1,1,5.63,10.42,1,1,5.63,1,10.42,10.42,1,1
scenario3922,0,0,TurnLeft,0,1,0,0,1,2,5.59,1,1,5.59,9.6,1,1,5.59,1,9.6,9.6,1,1
scenario3923,0,0,TurnLeft,3,1,0,0,1,2,5.59,1,1,5.59,9.65,1,1,5.59,1,9.65,9.65,1,1
scenario3924,0,0,TurnLeft,3,1,0,0,1,2,5.59,1,1,5.59,9.62,1,1,5.59,1,9.62,9.62,1,1
scenario3925,0,0,TurnLeft,3,1,0,0,1,2,5.59,1,1,5.59,9.61,1,1,5.59,1,9.61,9.61,1,1
scenario3926,0,0,TurnLeft,0,1,0,0,1,2,5.59,1,1,5.59,9.61,1,1,5.59,1,9.61,9.61,1,1
scenario3927,0,0,TurnLeft,0,1,0,0,1,2,5.59,1,1,5.59,9.65,1,1,5.59,1,9.65,9.65,1,1
scenario3928,0,0,TurnLeft,0,1,0,0,1,2,5.59,1,1,5.59,9.63,1,1,5.59,1,9.63,9.63,1,1
scenario3929,0,0,TurnLeft,0,1,0,0,1,2,5.59,1,1,5.59,9.63,1,1,5.59,1,9.63,9.63,1,1
scenario3930,0,0,TurnLeft,0,1,0,0,1,2,5.59,1,1,5.59,9.65,1,1,5.59,1,9.65,9.65,1,1
scenario3931,0,0,TurnLeft,3,1,0,0,1,2,5.59,1,1,5.59,9.66,1,1,5.59,1,9.66,9.66,1,1
scenario8286,0,10.16,SpeedUp,1,0,1,1,1,2,4.2,2,1,4.2,0.03,1,2,4.2,1,0.03,0.03,2,1
scenario8287,0,7.71,ChangeLaneToLeft,3,0,1,1,1,2,4.32,2,3,4.32,0.18,3,2,4.32,3,0.18,0.18,2,1
scenario8290,17.17,0.78,SpeedCut,3,0,1,1,1,2,3.11,3,0,3.11,0.02,2,2,3.69,2,0.12,0.12,2,1
scenario8292,14.5,0.33,SpeedCut,1,0,1,1,1,2,3.17,3,0,3.17,0.04,2,2,3.69,2,0.19,0.19,2,1
scenario8293,48.71,0,SpeedCut,3,0,1,1,1,2,3.14,3,0,3.14,0.04,1,2,3.67,1,0.16,0.16,2,1
scenario8294,48.97,0,SpeedCut,1,0,1,1,1,2,3.14,3,0,3.14,0.03,1,2,3.57,1,0.19,0.19,2,1
scenario8295,48.8,0,SpeedCut,1,0,1,1,1,2,3.13,3,0,3.13,0.03,1,2,3.4,1,0.19,0.19,2,1
scenario8389,0,9.32,SpeedUp,3,0,1,1,1,2,5.05,3,0,5.05,0.01,2,2,6.38,2,0.06,0.06,2,0
scenario8400,0,8.43,SpeedUp,1,0,1,1,1,2,3,2,2,3,0.22,2,2,3,2,0.22,0.22,2,1
scenario8401,33.49,2.15,EmergencyBrake,1,0,1,1,1,2,3.09,3,0,3.09,0.02,3,2,4.11,3,0.19,0.19,2,1
scenario8403,14.5,1.06,SpeedCut,1,0,1,1,1,2,3.27,3,0,3.27,0.1,2,2,3.62,2,0.15,0.15,2,1
scenario8487,38.72,4.79,EmergencyBrake,1,0,1,1,1,2,3.68,2,3,3.68,0.26,3,2,3.68,3,0.26,0.26,2,1
scenario8488,40.1,3.61,EmergencyBrake,1,0,1,1,1,2,3.8,2,3,3.8,0.39,3,2,3.8,3,0.39,0.39,2,1
scenario8489,34.72,2.42,EmergencyBrake,1,0,1,1,1,2,3.41,3,0,3.41,0.02,3,2,3.87,3,0.31,0.31,2,1
scenario8491,14.5,1.01,SpeedCut,1,0,1,1,1,2,3.15,3,0,3.15,0.03,2,2,3.69,2,0.21,0.21,2,1
scenario8493,14.53,0.63,SpeedCut,1,0,1,1,1,2,3.28,3,0,3.28,0.05,1,2,3.32,1,0.05,0.05,2,1
scenario8683,0,0.36,SpeedUp,1,0,1,1,1,2,3.92,2,1,3.92,0.23,1,2,3.92,1,0.23,0.23,2,1
scenario8688,14.5,0.14,SpeedCut,1,0,1,1,1,2,3.89,2,1,3.89,0.19,1,2,3.89,1,0.19,0.19,2,1
scenario8689,41.56,0.03,EmergencyBrake,3,0,1,1,1,2,3.86,2,1,3.86,0.2,1,2,3.86,1,0.2,0.2,2,1
scenario8690,0,0.03,SpeedUp,3,0,1,1,1,2,3.87,2,1,3.87,0.26,1,2,3.87,1,0.26,0.26,2,1
scenario8691,0,0,SpeedUp,3,0,1,1,1,2,3.9,2,1,3.9,0.23,1,2,3.9,1,0.23,0.23,2,1
scenario8692,17.66,0.09,SpeedCut,1,0,1,1,1,2,3.86,2,1,3.86,0.2,1,2,3.86,1,0.2,0.2,2,1
scenario8693,46.47,0,SpeedCut,3,0,1,1,1,2,3.87,2,1,3.87,0.2,1,2,3.87,1,0.2,0.2,2,1
scenario8694,50,0,SpeedCut,3,0,1,1,1,2,3.86,2,1,3.86,0.24,1,2,3.86,1,0.24,0.24,2,1
scenario8695,15.83,0.02,SpeedCut,3,0,1,1,1,2,3.9,2,1,3.9,0.2,1,2,3.9,1,0.2,0.2,2,1
scenario8696,50,0,SpeedCut,1,0,1,1,1,2,3.9,2,1,3.9,0.19,1,2,3.9,1,0.19,0.19,2,1
scenario8697,50,0,SpeedCut,1,0,1,1,1,2,3.9,2,1,3.9,0.2,1,2,3.9,1,0.2,0.2,2,1
scenario8698,50,0,SpeedCut,1,0,1,1,1,2,3.92,2,1,3.92,0.19,1,2,3.92,1,0.19,0.19,2,1
scenario8700,0,0.02,SpeedCut,1,0,1,1,1,2,3.9,2,1,3.9,0.2,1,2,3.9,1,0.2,0.2,2,1
scenario8702,0,0,SpeedCut,1,0,1,1,1,2,3.86,2,1,3.86,0.19,1,2,3.86,1,0.19,0.19,2,1
scenario8703,0,0,SpeedCut,1,0,1,1,1,2,3.88,2,1,3.88,0.2,1,2,3.88,1,0.2,0.2,2,1
scenario8704,14.5,0,SpeedCut,1,0,1,1,1,2,3.9,2,1,3.9,0.22,1,2,3.9,1,0.22,0.22,2,1
scenario8922,0,10.25,SpeedUp,1,0,1,1,1,2,5.42,3,0,5.42,0.04,3,2,6.15,3,0.15,0.15,2,1
scenario8923,48.11,5.85,EmergencyBrake,3,0,1,1,1,2,3.26,3,0,3.26,0.03,4,2,3.7,4,0.21,0.21,2,1
scenario8924,21,4.36,Cruise,1,0,1,1,1,2,3.59,2,4,3.59,0.27,4,2,3.59,4,0.27,0.27,2,1
scenario9018,44.33,4.29,EmergencyBrake,3,0,1,1,1,2,2.97,2,3,2.97,0.16,3,2,2.97,3,0.16,0.16,2,1
scenario9024,14.5,0.46,SpeedCut,1,0,1,1,1,2,3.86,2,2,3.86,0.17,2,2,3.86,2,0.17,0.17,2,1
scenario9025,14.5,0.22,SpeedCut,3,0,1,1,1,2,3.79,2,1,3.79,0.17,1,2,3.79,1,0.17,0.17,2,1
scenario9026,48.58,0,SpeedCut,3,0,1,1,1,2,3.72,2,1,3.72,0.15,1,2,3.72,1,0.15,0.15,2,1
scenario9027,48.37,0,SpeedCut,1,0,1,1,1,2,3.52,2,2,3.52,0.16,2,2,3.52,2,0.16,0.16,2,1
scenario9298,0,10.39,SpeedUp,1,0,1,1,1,2,4.4,3,0,4.4,0.02,2,2,4.86,2,0.11,0.11,2,1
scenario9371,0,4.04,SpeedUp,2,0,1,1,1,2,5.93,2,1,5.93,0.17,1,2,5.93,1,0.17,1.59,3,0
scenario9392,0,10.57,SpeedUp,3,0,1,1,1,2,4.31,2,1,4.31,0.32,1,2,4.31,1,0.32,0.32,2,1
scenario9393,14.5,6.33,SpeedCut,1,0,1,1,1,2,4,2,2,4,0.35,2,2,4,2,0.35,0.35,2,1
scenario9396,14.5,1.06,SpeedCut,1,0,1,1,1,2,3.16,3,0,3.16,0.04,2,2,3.79,2,0.23,0.23,2,1
scenario9398,14.5,0.65,SpeedCut,1,0,1,1,1,2,3.19,3,0,3.19,0.04,1,2,3.4,1,0.09,0.09,2,1
scenario9595,0,9.37,SpeedUp,3,0,1,1,1,2,4.1,3,0,4.1,0.04,1,2,7.75,1,0.06,0.06,2,0
scenario9605,0,10.35,SpeedUp,1,0,1,1,1,2,3.82,2,1,3.82,0.01,1,2,3.82,1,0.01,0.05,3,1
scenario9609,24.5,1.27,Cruise,3,0,1,1,1,2,3.29,3,0,3.29,0.04,2,2,4.05,2,0.21,0.21,2,1
scenario9612,14.5,0.39,SpeedCut,1,0,1,1,1,2,3.87,3,0,3.87,0.05,1,2,4.01,1,0.23,0.23,2,1
scenario9613,14.5,0.15,SpeedCut,1,0,1,1,1,2,3.9,2,1,3.9,0.22,1,2,3.9,1,0.22,0.22,2,1
scenario9614,0,0.03,SpeedUp,3,0,1,1,1,2,3.9,2,1,3.9,0.22,1,2,3.9,1,0.22,0.22,2,1
scenario9615,0,0.01,SpeedUp,1,0,1,1,1,2,3.93,3,0,3.93,0.03,1,2,3.95,1,0.21,0.21,2,1
scenario9616,0,0.01,SpeedUp,3,0,1,1,1,2,3.89,2,1,3.89,0.22,1,2,3.89,1,0.22,0.22,2,1
scenario9617,0,0.02,SpeedCut,3,0,1,1,1,2,3.87,2,1,3.87,0.2,1,2,3.87,1,0.2,0.2,2,1
scenario9618,29.72,0.01,SpeedCut,3,0,1,1,1,2,3.92,2,1,3.92,0.21,1,2,3.92,1,0.21,0.21,2,1
scenario9619,0,0,SpeedUp,3,0,1,1,1,2,3.87,2,1,3.87,0.18,1,2,3.87,1,0.18,0.18,2,1
scenario9620,0,0.01,SpeedCut,3,0,1,1,1,2,3.91,2,1,3.91,0.23,1,2,3.91,1,0.23,0.23,2,1
scenario9621,0,0.01,SpeedCut,1,0,1,1,1,2,3.93,2,1,3.93,0.21,1,2,3.93,1,0.21,0.21,2,1
scenario9622,20.8,0.02,SpeedCut,1,0,1,1,1,2,3.89,2,1,3.89,0.21,1,2,3.89,1,0.21,0.21,2,1
scenario9623,27.58,0.02,SpeedCut,1,0,1,1,1,2,3.88,2,1,3.88,0.25,1,2,3.88,1,0.25,0.25,2,1
scenario9624,14.5,0.01,SpeedCut,1,0,1,1,1,2,3.89,2,1,3.89,0.18,1,2,3.89,1,0.18,0.18,2,1
scenario9625,50,0,SpeedCut,1,0,1,1,1,2,3.89,2,1,3.89,0.2,1,2,3.89,1,0.2,0.2,2,1
scenario9626,50,0,SpeedCut,1,0,1,1,1,2,3.91,2,1,3.91,0.23,1,2,3.91,1,0.23,0.23,2,1
scenario9627,50,0,SpeedCut,1,0,1,1,1,2,3.93,2,1,3.93,0.17,1,2,3.93,1,0.17,0.17,2,1
scenario9628,0,0,SpeedCut,1,0,1,1,1,2,3.9,2,1,3.9,0.2,1,2,3.9,1,0.2,0.2,2,1
scenario9629,0,0,SpeedCut,1,0,1,1,1,2,3.88,2,1,3.88,0.26,1,2,3.88,1,0.26,0.26,2,1
scenario9630,14.5,0,SpeedCut,1,0,1,1,1,2,3.9,2,1,3.9,0.22,1,2,3.9,1,0.22,0.22,2,1
scenario9631,14.5,0,SpeedCut,1,0,1,1,1,2,3.92,2,1,3.92,0.17,1,2,3.92,1,0.17,0.17,2,1
scenario9632,14.5,0,SpeedCut,1,0,1,1,1,2,3.86,2,1,3.86,0.21,1,2,3.86,1,0.21,0.21,2,1
scenario9684,0,10.35,SpeedUp,1,0,1,1,1,2,1.4,2,1,1.4,0.07,1,2,1.4,1,0.07,0.07,2,1
scenario9685,0,10.04,SpeedUp,1,0,1,1,1,2,2.12,2,2,2.12,0.38,2,2,2.12,2,0.38,0.38,2,1
scenario9687,23.04,1.45,Cruise,3,0,1,1,1,2,3.46,2,2,3.46,0.21,2,2,3.46,2,0.21,0.21,2,1
scenario9738,0,9.19,SpeedUp,3,0,1,1,1,2,8.56,3,0,8.56,0.01,1,2,12.2,1,0.1,0.1,2,0
scenario9748,47.76,6.57,EmergencyBrake,1,0,1,1,1,2,2.55,2,2,2.55,0.18,2,2,2.55,2,0.18,0.18,2,1
scenario9749,31.76,5.63,EmergencyBrake,1,0,1,1,1,2,3.12,3,0,3.12,0.02,3,2,3.25,3,0.1,0.1,2,1
scenario9750,44.16,4.68,EmergencyBrake,1,0,1,1,1,2,3.38,2,3,3.38,0.34,3,2,3.38,3,0.34,0.34,2,1
scenario10056,14.5,0.71,SpeedCut,3,0,1,1,1,2,3.9,2,1,3.9,0.21,1,2,3.9,1,0.21,0.21,2,1
scenario10156,55.49,3.02,EmergencyBrake,1,0,1,1,1,2,3.17,3,0,3.17,0.02,3,2,3.6,3,0.17,0.17,2,1
scenario10160,0,0.02,SpeedUp,1,0,1,1,1,2,3.21,3,0,3.21,0.04,2,2,3.3,2,0.07,0.07,2,1
scenario10282,22.39,10.46,SpeedCut,2,0,1,1,1,2,3.29,2,2,3.29,0.15,2,2,3.29,2,0.15,0.15,2,1
scenario10366,48.25,6.09,EmergencyBrake,3,0,1,1,1,2,1.75,2,2,1.75,0.25,2,2,1.75,2,0.25,0.25,2,1
scenario10376,14.5,0.21,SpeedCut,3,0,1,1,1,2,3.89,2,1,3.89,0.24,1,2,3.89,1,0.24,0.24,2,1
scenario10377,45,0,SpeedCut,1,1,0,0,1,2,6.26,3,0,6.26,0.03,3,1,18.57,3,72.77,72.77,1,1
scenario10513,0,0.35,SpeedUp,1,0,1,1,1,2,3.77,2,1,3.77,0.18,1,2,3.77,1,0.18,0.18,2,1
scenario10515,14.5,0.33,SpeedCut,1,0,1,1,1,2,3.52,2,1,3.52,0.08,1,2,3.52,1,0.08,0.08,2,1
scenario10553,14.5,0.81,SpeedCut,2,1,0,0,1,2,13.4,3,0,13.4,0.01,1,1,19.68,1,49.47,49.47,1,1
scenario10748,45.83,8.17,EmergencyBrake,1,1,0,0,1,2,5.83,3,0,5.83,0.04,4,1,11.93,4,81.73,81.73,1,0
scenario11140,28.41,6.58,SpeedCut,1,1,0,0,1,2,4.69,3,0,4.69,106.01,2,1,35.58,2,1.39,106.01,3,0
scenario11141,0,6.3,ChangeLaneToRight,1,1,0,0,1,2,4.98,3,0,4.98,90.97,2,1,29.24,2,7.59,90.97,3,0
scenario11197,0,8.76,ChangeLaneToRight,1,1,0,0,1,2,6.49,3,0,6.49,0.05,1,1,43.34,1,17.92,17.92,1,0
scenario11433,41.32,5.58,EmergencyBrake,1,1,0,0,1,2,5.69,3,0,5.69,0.03,4,1,14.43,4,65.73,65.73,1,0
scenario11602,14.5,9.18,SpeedCut,1,1,0,0,1,2,8.75,3,0,8.75,0.02,3,1,34.86,3,29.82,29.82,1,0
scenario11603,0,9.19,SpeedUp,1,1,0,0,1,2,6.69,3,0,6.69,0.04,4,1,30.56,4,0.72,0.72,1,0
scenario11604,18.51,9.23,SpeedCut,1,1,0,0,1,2,5.96,3,0,5.96,0.06,4,1,29.56,4,0.32,0.32,1,0
scenario11700,36.21,8.46,EmergencyBrake,1,1,0,0,1,2,5.05,3,0,5.05,0.03,4,1,14.22,4,86.56,86.56,1,0
scenario11763,14.5,7.26,SpeedCut,1,1,0,0,1,2,9.49,3,0,9.49,0.01,4,1,9.71,4,9.69,9.69,1,0
scenario11764,44.5,7.06,EmergencyBrake,1,1,0,0,1,2,7.31,3,0,7.31,0.04,4,1,9.65,4,9.92,9.92,1,0
scenario11766,35.19,6.13,SpeedCut,1,1,0,0,1,2,4.94,3,0,4.94,0.06,4,1,9.19,4,9.65,9.65,1,0
scenario11837,0,6.42,SpeedUp,1,1,0,0,1,2,5.08,3,0,5.08,11.06,1,1,6.2,1,1.66,11.06,3,0
scenario11969,0,9.11,SpeedUp,1,1,0,0,1,2,5.93,3,0,5.93,0.02,1,1,45.78,1,19.8,19.8,1,0
scenario11970,14.5,8.9,SpeedCut,1,1,0,0,1,2,6.23,3,0,6.23,0.02,1,1,48.42,1,19.45,19.45,1,0
scenario12116,14.5,9.11,SpeedCut,1,1,0,0,1,2,6.93,3,0,6.93,0.05,1,1,8.51,1,6.72,6.72,1,0
scenario12641,0,2.95,ChangeLaneToRight,1,1,0,0,1,2,4.44,3,0,4.44,0.08,3,1,21.35,3,5.4,5.4,1,0
scenario12645,40.56,5.96,EmergencyBrake,3,1,0,0,1,2,4.89,3,0,4.89,103.74,2,1,19.29,2,1.09,103.74,3,0
scenario12646,21.63,5.05,ChangeLaneToRight,3,1,0,0,1,2,7.09,3,0,7.09,142.36,2,1,20.1,2,1.22,142.36,3,0
scenario12647,0,4.59,ChangeLaneToRight,3,1,0,0,1,2,8.83,3,0,8.83,167.63,2,1,20.62,2,0.96,167.63,3,0
scenario15396,41.7,0.28,EmergencyBrake,1,1,0,0,1,2,2.82,3,0,2.82,0.14,1,1,5.24,1,109.24,109.24,1,1
scenario16455,14.5,0.61,SpeedCut,0,1,0,0,1,2,3.98,3,0,3.98,0.18,2,1,8.46,2,98.76,98.76,1,0
scenario18165,30.42,2.61,ChangeLaneToLeft,3,0,1,1,1,2,3.51,2,2,3.51,0.25,2,2,3.51,2,0.25,0.25,2,1
scenario18166,30.12,1.74,ChangeLaneToLeft,3,0,1,1,1,2,3.7,2,2,3.7,0.24,2,2,3.7,2,0.24,0.24,2,1
scenario18167,22.57,1.26,Cruise,3,0,1,1,1,2,3.84,2,2,3.84,0.25,2,2,3.84,2,0.25,0.25,2,1
scenario18229,42.52,4.18,EmergencyBrake,3,0,1,1,1,2,2.44,2,3,2.44,0.14,3,2,2.44,3,0.14,0.14,2,1
scenario18231,14.5,0.46,SpeedCut,1,0,1,1,1,2,3.43,2,2,3.43,0.21,2,2,3.43,2,0.21,0.21,2,1
scenario18232,14.5,0.3,SpeedCut,1,0,1,1,1,2,3.37,2,1,3.37,0.15,1,2,3.37,1,0.15,0.15,2,1
scenario18320,24.25,3.99,ChangeLaneToLeft,1,0,1,1,1,2,2.76,2,2,2.76,0.34,2,2,2.76,2,0.34,0.34,2,1
scenario18321,44.26,3.06,EmergencyBrake,1,0,1,1,1,2,3.09,3,0,3.09,0.01,2,2,3.24,2,0.34,0.34,2,1
scenario18322,32.45,2.14,EmergencyBrake,1,0,1,1,1,2,3.11,3,0,3.11,0.03,2,2,3.5,2,0.19,0.19,2,1
scenario18323,23.09,1.37,Cruise,1,0,1,1,1,2,3.19,3,0,3.19,0.04,2,2,3.73,2,0.19,0.19,2,1
scenario18324,14.5,0.41,SpeedCut,1,0,1,1,1,2,3.38,3,0,3.38,0.05,2,2,3.76,2,0.21,0.21,2,1
scenario18325,26.72,0.14,SpeedCut,1,0,1,1,1,2,3.48,3,0,3.48,0.08,2,2,3.85,2,0.2,0.2,2,1
scenario18326,77.9,0,SpeedCut,3,0,1,1,1,2,3.47,3,0,3.47,0.08,1,2,3.78,1,0.19,0.19,2,1
scenario18327,80.97,0,SpeedCut,1,0,1,1,1,2,3.48,3,0,3.48,0.08,2,2,3.51,2,0.06,0.08,3,1
scenario18406,0,10.21,SpeedUp,3,0,1,1,1,2,5.92,3,0,5.92,0.01,1,2,6.47,1,0.12,0.12,2,1
scenario18407,0,10.32,SpeedUp,1,0,1,1,1,2,3.65,3,0,3.65,0.01,1,2,4.92,1,0.23,0.23,2,1
scenario18533,33.64,4.97,EmergencyBrake,1,0,1,1,1,2,4.15,2,2,4.15,0.33,2,2,4.15,2,0.33,0.33,2,1
scenario18534,43.6,4.1,EmergencyBrake,3,0,1,1,1,2,4.09,2,2,4.09,0.28,2,2,4.09,2,0.28,0.28,2,1
scenario18535,37.81,2.72,EmergencyBrake,3,0,1,1,1,2,3.79,2,2,3.79,0.21,2,2,3.79,2,0.21,0.21,2,1
scenario18536,14.96,0.52,SpeedCut,1,0,1,1,1,2,3.59,2,1,3.59,0.17,1,2,3.59,1,0.17,0.17,2,1
scenario18537,14.5,0.28,SpeedCut,3,0,1,1,1,2,3.49,2,1,3.49,0.16,1,2,3.49,1,0.16,0.16,2,1
scenario18725,0,10.35,SpeedUp,1,0,1,1,1,2,4.51,3,0,4.51,0.07,3,2,4.63,3,0.26,0.26,2,1
scenario18727,44.48,3.92,EmergencyBrake,1,0,1,1,1,2,3.12,3,0,3.12,0.02,2,2,4.03,2,0.15,0.15,2,1
scenario18730,14.5,0.2,SpeedCut,1,0,1,1,1,2,3.48,3,0,3.48,0.06,1,2,3.87,1,0.21,0.21,2,1
scenario18731,48.9,0,SpeedCut,1,0,1,1,1,2,3.44,3,0,3.44,0.09,1,2,3.83,1,0.12,0.12,2,1
scenario18816,0,8.75,SpeedUp,3,0,1,1,1,2,2.77,2,3,2.77,0.17,3,2,2.77,3,0.17,0.17,2,1
scenario18818,30.59,6.03,Cruise,1,0,1,1,1,2,3.37,2,3,3.37,0.33,3,2,3.37,3,0.33,0.33,2,1
scenario18819,44.93,4.88,EmergencyBrake,1,0,1,1,1,2,3.16,3,0,3.16,0.02,2,2,3.59,2,0.24,0.24,2,1
scenario18823,47.95,0,SpeedCut,1,0,1,1,1,2,3.28,3,0,3.28,0.08,2,2,3.54,2,0.12,0.12,2,1
