Instances,feature_ego_brake,feature_ego_speed,source,feature_scenarioTrafficLightDemand,feature_totalNPCs,feature_totalPedestrians,feature_isPedestrianScenario,feature_totalStaticObstacles,feature_totalRoadUsers,feature_obstaclesMinimumDistance,feature_typeObstacleHavingMinimumDistance,feature_speedObstacleWithMinimumDistance,feature_distanceObstacleWithMinimumDistance,feature_volumeObstacleWithMinimumDistance,feature_obstaclesMaximumSpeed,feature_typeObstacleHavingMaximumSpeed,feature_distanceObstacleWithMaximumSpeed, feature_speedObstacleWithMaximumSpeed,feature_volumeObstacleWithMaximumSpeed,feature_obstaclesMaximumVolume,feature_typeObstacleHavingMaximumVolume,algo_collision
scenario57591,14.5,2.31,SpeedCut,3,3,0,0,0,3,7.64,1,3,7.64,6.49,3,1,7.64,3,6.49,6.49,1,0
scenario57595,14.5,1.59,SpeedCut,3,3,0,0,0,3,11.22,1,2,11.22,5.34,2,1,11.22,2,5.34,76.66,1,0
scenario57597,14.5,1.22,SpeedCut,3,3,0,0,0,3,12.73,1,2,12.73,5.52,2,1,12.73,2,5.52,68.95,1,0
scenario57680,16.9,6.12,SpeedCut,3,3,0,0,0,3,12.14,1,2,12.14,7.74,2,1,12.14,2,7.74,107.99,1,0
scenario57681,26.85,5.21,Cruise,3,3,0,0,0,3,11.23,1,3,11.23,8.52,3,1,11.23,3,8.52,87.54,1,0
scenario57684,33.58,2.17,EmergencyBrake,3,3,0,0,0,3,7.73,1,2,7.73,8.7,2,1,7.73,2,8.7,47.44,1,0
scenario57685,22.11,1.36,Cruise,3,3,0,0,0,3,5.83,1,2,5.83,8.86,2,1,5.83,2,8.86,53.62,1,0
scenario57895,14.5,8.06,SpeedCut,3,3,0,0,0,3,4.23,1,2,4.23,8.52,4,1,27.65,4,2.76,8.52,1,0
scenario57896,14.5,7.79,SpeedCut,3,3,0,0,0,3,4.65,1,2,4.65,8.73,4,1,29.51,4,3.55,13.08,1,0
scenario57897,14.5,7.51,SpeedCut,3,3,0,0,0,3,5.1,1,3,5.1,8.17,3,1,5.1,3,8.17,8.27,1,0
scenario57901,14.5,5.79,SpeedCut,3,3,0,0,0,3,6.01,1,3,6.01,8.74,3,1,6.01,3,8.74,145.79,1,0
scenario57902,14.5,5.57,SpeedCut,3,3,0,0,0,3,5.64,1,3,5.64,8.76,3,1,5.64,3,8.76,127.62,1,0
scenario57903,14.5,5.28,SpeedCut,3,3,0,0,0,3,6.48,1,3,6.48,9.42,3,1,6.48,3,9.42,148.62,1,0
scenario57963,70,0,Stop,0,2,1,1,0,3,4.86,1,2,4.86,111.2,2,1,4.86,2,111.2,111.2,1,1
scenario57974,50,0,SpeedCut,0,3,0,0,0,3,3.29,1,1,3.29,28.58,1,1,25.87,1,3.62,64.36,1,1
scenario58034,42.94,6,EmergencyBrake,3,2,1,1,0,3,3.84,2,1,3.84,0.68,4,1,6.09,4,8.79,129.62,1,0
scenario58094,14.5,2.5,SpeedCut,3,3,0,0,0,3,13.63,1,2,13.63,1.71,2,1,13.63,2,1.71,4.91,1,0
scenario58158,24.51,6.63,TurnLeft,0,2,1,1,0,3,7.48,2,2,7.48,0.22,3,1,30.23,3,0,5.2,1,1
scenario58159,45.97,6.1,EmergencyBrake,0,2,1,1,0,3,5.45,2,2,5.45,0.26,3,1,30.88,3,0.04,4.24,1,1
scenario58246,18.34,1.17,SpeedCut,3,3,0,0,0,3,12.1,1,1,12.1,7.61,2,1,26.99,2,5.65,42.6,1,0
scenario58452,0,2.11,ChangeLaneToLeft,3,3,0,0,0,3,2.49,1,1,2.49,0.99,1,1,2.49,1,0.99,100.62,1,0
scenario58460,0,0.68,SpeedUp,3,3,0,0,0,3,5.26,1,1,5.26,10.36,1,1,9.6,1,4.4,89.99,1,0
scenario58952,69.87,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,14.18,2,1,3.86,2,6.76,14.18,1,1
scenario58953,69.35,0,ChangeLaneToRight,3,3,0,0,0,3,2.24,1,1,2.24,16,2,1,4.43,2,6.54,16,1,1
scenario58954,69.28,0.01,ChangeLaneToRight,3,3,0,0,0,3,2.24,1,1,2.24,17.39,2,1,5.16,2,6.94,17.39,1,1
scenario58955,69.21,0.01,ChangeLaneToRight,3,3,0,0,0,3,2.24,1,1,2.24,17.4,2,1,6.08,2,6.95,17.4,1,1
scenario58956,69.85,0,ChangeLaneToRight,3,3,0,0,0,3,2.24,1,1,2.24,16.5,2,1,7.3,2,6.5,16.5,1,1
scenario58957,69.84,0,ChangeLaneToRight,3,3,0,0,0,3,2.24,1,1,2.24,16.1,2,1,7.95,2,6.23,16.1,1,1
scenario58958,69.88,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,15.68,2,1,8.47,2,6.14,15.68,1,1
scenario58959,69.9,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,15.03,2,1,9.15,2,7.06,15.03,1,1
scenario58960,69.91,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,14.29,1,1,2.25,1,14.29,14.29,1,1
scenario58961,69.51,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,14.91,1,1,2.25,1,14.91,14.91,1,1
scenario58962,69.79,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,14.98,1,1,2.25,1,14.98,14.98,1,1
scenario58963,69.71,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,14.77,1,1,2.25,1,14.77,14.77,1,1
scenario58964,69.74,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,14.92,1,1,2.25,1,14.92,14.92,1,1
scenario58965,69.88,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,14.78,1,1,2.25,1,14.78,14.78,1,1
scenario58966,69.73,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,14.77,1,1,2.25,1,14.77,14.77,1,1
scenario58967,69.32,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,15.34,1,1,2.25,1,15.34,15.34,1,1
scenario58968,69.36,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,14.91,1,1,2.25,1,14.91,14.91,1,1
scenario58969,69.57,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,13.48,3,1,17.76,3,8.44,13.48,1,1
scenario58970,69.87,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,13.74,4,1,26.66,4,7.85,13.74,1,1
scenario58971,69.48,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,13.03,4,1,31.13,4,0.06,13.03,1,1
scenario58974,69.5,0,ChangeLaneToRight,0,3,0,0,0,3,2.23,1,1,2.23,19.95,2,1,12.25,2,90.15,90.15,1,1
scenario58975,69.67,0,ChangeLaneToRight,0,3,0,0,0,3,2.26,1,1,2.26,11.99,3,1,13.02,3,31.04,31.04,1,1
scenario58976,69.82,0,ChangeLaneToRight,0,3,0,0,0,3,2.23,1,1,2.23,15.3,3,1,21.3,3,94.93,94.93,1,1
scenario58977,69.54,0,ChangeLaneToRight,3,3,0,0,0,3,2.24,1,1,2.24,11.01,4,1,25.75,4,125.22,125.22,1,1
