feature_direct_distance,feature_full_road_diversity,feature_max_angle,feature_max_pivot_off,feature_mean_angle,feature_mean_pivot_off,feature_mean_road_diversity,feature_median_angle,feature_median_pivot_off,feature_min_angle,feature_min_pivot_off,feature_num_l_turns,feature_num_r_turns,feature_num_straights,feature_road_distance,algo_safety,feature_std_angle,feature_std_pivot_off,feature_test_duration,feature_total_angle,Instances
62.6149281401808,1359.88511631052,148.427046747744,66.1047417728057,-26.1067791856189,40.4729099293355,151.098346256724,8.50119891574709,40.3320648427695,-345.880521479476,1.62216394306874,5,4,0,245.019815089855,1,133.279046284063,19.834753609442,17.3661208152771,-234.96101267057,C:\Users\nnee0002\Documents\SDC-Scissors\test-ambiegen\test.0089.json
87.480940352742,242.000791309034,46.968154929827,186.4018656306,2.50866869034046,34.8735263049029,18.6154454853103,0,0,-44.3708090896263,0,3,3,7,257.032182079161,1,23.1006481041746,55.166035834457,17.8438270092011,32.612692974426,C:\Users\nnee0002\Documents\SDC-Scissors\test-ambiegen\test.0088.json
52.3564708130714,61.339837184565,308.256783493859,99.7897775097552,29.5517769941612,35.7238137204763,7.66747964807062,-8.83412072939644,27.2576540749102,-25.8812117638023,0,2,5,1,112.569132777929,1,113.241740195038,33.6521762592383,5.50017428398132,236.414215953289,C:\Users\nnee0002\Documents\SDC-Scissors\test-ambiegen\test.0087.json
95.4768282726233,34.128376864589,21.7301717904741,395.741930368456,15.3353360020396,151.385678989131,11.3761256215297,12.5372177429029,37.0471677517845,11.7386184727417,21.3679388471523,3,0,0,101.341740139504,0,5.55246645819292,211.763884422906,9.02196955680847,46.0060080061187,C:\Users\nnee0002\Documents\SDC-Scissors\test-ambiegen\test.0086.json
82.8416856721301,25.7886001065213,36.187589343903,32.7728009733781,20.1193154784731,21.01426269017,5.15772002130425,21.6337614978307,24.321168887035,3.57494838356448,0,4,0,1,119.423606393428,0,11.7425074891709,12.3683454611603,10.7562079429626,100.596577392366,C:\Users\nnee0002\Documents\SDC-Scissors\test-ambiegen\test.0085.json
94.7390213006235,137.200698151993,27.8890823949161,163.293156548554,7.06476819272388,49.3306387117683,27.4401396303987,14.0164084394458,24.5716494643127,-27.0952848828842,0,3,1,1,141.894355887133,1,21.5226505868312,64.9755288661113,11.4446129798889,35.3238409636194,C:\Users\nnee0002\Documents\SDC-Scissors\test-ambiegen\test.0084.json
62.1357680728258,94.8340579914056,46.7769660593361,352.159173856952,14.3538547765964,75.3660933326224,10.5371175546006,9.70437466114131,40.9696220491741,-1.18070069554017,0,8,0,1,179.931798977087,0,14.8659803322995,106.305187885212,15.8334600925446,129.184692989368,C:\Users\nnee0002\Documents\SDC-Scissors\test-ambiegen\test.0083.json
72.1768674992203,466.85941117518,232.627762080692,156.88841469266,39.3148533303683,45.6366543921466,51.8732679083533,8.10367563004074,37.5191695334046,-10.8971776609314,0,6,2,1,178.472077240001,1,76.4958300280564,46.2827112932371,4.14916324615479,353.833679973315,C:\Users\nnee0002\Documents\SDC-Scissors\test-ambiegen\test.0082.json
54.0536822519983,405.94630543296,63.6315029103835,74.5866828742968,13.8698387603524,38.6329282153793,50.74328817912,10.0035310689131,36.2996227924008,-69.0276296538089,0,6,1,1,225.219754101178,0,40.6176961123456,23.7834301012648,19.3394136428833,110.958710082819,C:\Users\nnee0002\Documents\SDC-Scissors\test-ambiegen\test.0081.json
50.9612990120935,194.877828868782,317.025386753745,85.0411657933242,-16.6673025060109,26.1701119405262,17.7161662607984,-10.1006465371333,24.5477461592744,-351.53837102841,0,1,7,3,225.349491359153,1,150.874688269627,28.2400064740474,5.48901653289795,-183.34032756612,C:\Users\nnee0002\Documents\SDC-Scissors\test-ambiegen\test.0080.json
